Runtime,Computationaltime,Backtracks
0 days 00:00:20.618927,0 days 00:00:02.604877,681
0 days 00:00:27.478673,0 days 00:00:21.332924,167
0 days 00:00:33.836407,0 days 00:00:28.066612,97
0 days 00:00:43.550156,0 days 00:00:34.965538,218
0 days 00:00:47.245662,0 days 00:00:43.834816,51
0 days 00:00:55.517395,0 days 00:00:48.132625,221
0 days 00:00:58.698120,0 days 00:00:55.694210,13
0 days 00:01:01.509861,0 days 00:00:58.831676,2
0 days 00:01:05.881427,0 days 00:01:01.849239,61
0 days 00:01:09.531105,0 days 00:01:06.119098,26
0 days 00:01:12.915783,0 days 00:01:09.753497,18
0 days 00:01:15.635850,0 days 00:01:13.042389,1
0 days 00:01:19.242076,0 days 00:01:15.896332,46
0 days 00:01:31.219990,0 days 00:01:20.736142,319
0 days 00:01:38.823677,0 days 00:01:32.021791,132
0 days 00:01:41.751346,0 days 00:01:38.977500,3
0 days 00:01:44.478313,0 days 00:01:41.895154,6
0 days 00:01:47.702352,0 days 00:01:44.654033,9
0 days 00:01:50.330317,0 days 00:01:47.833514,1
0 days 00:01:53.125611,0 days 00:01:50.465467,6
0 days 00:01:56.768307,0 days 00:01:53.346155,15
0 days 00:01:59.812109,0 days 00:01:56.960884,7
0 days 00:02:02.651347,0 days 00:01:59.986963,5
0 days 00:02:05.388001,0 days 00:02:02.797540,2
0 days 00:02:09.021093,0 days 00:02:05.685055,53
0 days 00:02:14.544807,0 days 00:02:09.542251,128
0 days 00:02:17.005644,0 days 00:02:14.654417,1
0 days 00:02:20.715219,0 days 00:02:17.329392,87
0 days 00:02:23.434599,0 days 00:02:20.859072,8
0 days 00:02:26.840133,0 days 00:02:23.696056,56
0 days 00:02:32.381161,0 days 00:02:27.395204,110
0 days 00:02:38.014966,0 days 00:02:32.871646,92
0 days 00:02:40.847082,0 days 00:02:38.165267,7
0 days 00:02:43.319531,0 days 00:02:40.956799,0
0 days 00:02:45.953957,0 days 00:02:43.453842,2
0 days 00:02:49.644262,0 days 00:02:46.257779,57
0 days 00:02:52.402670,0 days 00:02:49.787404,7
0 days 00:02:55.252140,0 days 00:02:52.551546,14
0 days 00:02:58.255594,0 days 00:02:55.461551,26
0 days 00:03:02.361434,0 days 00:02:58.608571,65
0 days 00:03:05.169287,0 days 00:03:02.531222,9
0 days 00:03:09.498183,0 days 00:03:05.496383,32
0 days 00:03:12.786363,0 days 00:03:09.717930,19
0 days 00:03:16.056652,0 days 00:03:13.027941,35
0 days 00:03:19.917959,0 days 00:03:16.360749,67
0 days 00:03:24.294165,0 days 00:03:20.266788,74
0 days 00:03:26.837114,0 days 00:03:24.418609,5
0 days 00:03:33.139145,0 days 00:03:27.326574,85
0 days 00:03:36.388233,0 days 00:03:33.363341,35
0 days 00:03:39.740538,0 days 00:03:36.584394,20
0 days 00:03:43.453236,0 days 00:03:39.981892,30
0 days 00:03:46.352059,0 days 00:03:43.625773,20
0 days 00:03:49.881064,0 days 00:03:46.572503,25
0 days 00:03:53.209033,0 days 00:03:50.119831,42
0 days 00:03:56.258883,0 days 00:03:53.400751,25
0 days 00:04:06.927056,0 days 00:03:57.850799,607
0 days 00:04:09.599997,0 days 00:04:07.063235,7
0 days 00:04:12.545614,0 days 00:04:09.776428,18
0 days 00:04:17.028249,0 days 00:04:12.865023,44
0 days 00:04:20.506384,0 days 00:04:17.280202,45
0 days 00:04:23.785799,0 days 00:04:20.725240,28
0 days 00:04:27.451252,0 days 00:04:24.054012,37
0 days 00:04:30.266712,0 days 00:04:27.606862,12
0 days 00:04:33.170494,0 days 00:04:30.422274,16
0 days 00:04:35.955654,0 days 00:04:33.332803,20
0 days 00:04:39.001967,0 days 00:04:36.162141,36
0 days 00:04:42.021799,0 days 00:04:39.188555,23
0 days 00:04:45.366327,0 days 00:04:42.231129,28
0 days 00:04:48.506791,0 days 00:04:45.558935,18
0 days 00:04:51.179671,0 days 00:04:48.629487,6
0 days 00:04:54.424460,0 days 00:04:51.403445,41
0 days 00:04:57.948879,0 days 00:04:54.711579,63
0 days 00:05:00.567287,0 days 00:04:58.062163,0
0 days 00:05:04.344144,0 days 00:05:00.898904,88
0 days 00:05:06.838203,0 days 00:05:04.459243,1
0 days 00:05:09.775958,0 days 00:05:07.011674,19
0 days 00:05:13.030347,0 days 00:05:09.976815,24
0 days 00:05:15.951021,0 days 00:05:13.202587,18
0 days 00:05:18.701607,0 days 00:05:16.099811,10
0 days 00:05:21.148967,0 days 00:05:18.811064,1
0 days 00:05:23.920867,0 days 00:05:21.301558,11
0 days 00:05:26.404792,0 days 00:05:24.035890,3
0 days 00:05:29.211410,0 days 00:05:26.563427,15
0 days 00:05:32.473206,0 days 00:05:29.424372,28
0 days 00:05:35.140812,0 days 00:05:32.593957,3
0 days 00:05:38.238270,0 days 00:05:35.332772,21
0 days 00:05:41.346898,0 days 00:05:38.422798,18
0 days 00:05:44.068937,0 days 00:05:41.477470,5
0 days 00:05:46.788594,0 days 00:05:44.213895,10
0 days 00:05:49.629183,0 days 00:05:46.960866,21
0 days 00:05:52.304393,0 days 00:05:49.784705,24
