Runtime,Computationaltime,Backtracks
0 days 00:00:06.605522,0 days 00:00:06.597709,0
0 days 00:00:06.613028,0 days 00:00:06.606305,0
0 days 00:00:06.621242,0 days 00:00:06.613846,0
0 days 00:00:06.629250,0 days 00:00:06.622183,0
0 days 00:00:06.636981,0 days 00:00:06.630035,0
0 days 00:00:06.644852,0 days 00:00:06.637773,0
0 days 00:00:06.652712,0 days 00:00:06.645643,0
0 days 00:00:06.659549,0 days 00:00:06.653368,0
0 days 00:00:06.667835,0 days 00:00:06.660413,0
0 days 00:00:06.678304,0 days 00:00:06.668998,0
0 days 00:00:06.688866,0 days 00:00:06.679464,0
0 days 00:00:06.699585,0 days 00:00:06.689972,0
0 days 00:00:06.708516,0 days 00:00:06.700517,0
0 days 00:00:06.716447,0 days 00:00:06.709278,0
0 days 00:00:06.723943,0 days 00:00:06.717130,0
0 days 00:00:06.730957,0 days 00:00:06.724553,0
0 days 00:00:06.740907,0 days 00:00:06.731979,0
0 days 00:00:06.751474,0 days 00:00:06.741934,0
0 days 00:00:06.758641,0 days 00:00:06.752197,0
0 days 00:00:06.766771,0 days 00:00:06.759408,0
0 days 00:00:06.774282,0 days 00:00:06.767530,0
0 days 00:00:06.781271,0 days 00:00:06.774870,0
0 days 00:00:06.790314,0 days 00:00:06.782192,0
0 days 00:00:06.800261,0 days 00:00:06.791331,0
0 days 00:00:06.808031,0 days 00:00:06.801010,0
0 days 00:00:06.815340,0 days 00:00:06.808780,0
0 days 00:00:06.823529,0 days 00:00:06.816190,0
0 days 00:00:06.832155,0 days 00:00:06.824498,0
0 days 00:00:06.840641,0 days 00:00:06.833111,0
0 days 00:00:06.848798,0 days 00:00:06.841400,0
0 days 00:00:06.856855,0 days 00:00:06.849607,0
0 days 00:00:06.863712,0 days 00:00:06.857493,0
0 days 00:00:06.872495,0 days 00:00:06.864586,0
0 days 00:00:06.879613,0 days 00:00:06.873175,0
0 days 00:00:06.887986,0 days 00:00:06.880384,0
0 days 00:00:06.895142,0 days 00:00:06.888641,0
0 days 00:00:06.903489,0 days 00:00:06.895949,0
0 days 00:00:06.913237,0 days 00:00:06.904540,0
0 days 00:00:06.922363,0 days 00:00:06.914170,0
0 days 00:00:06.930157,0 days 00:00:06.923133,0
0 days 00:00:06.938563,0 days 00:00:06.931054,0
0 days 00:00:06.945988,0 days 00:00:06.939377,0
0 days 00:00:06.953792,0 days 00:00:06.946801,0
0 days 00:00:06.960774,0 days 00:00:06.954396,0
0 days 00:00:06.968604,0 days 00:00:06.961573,0
0 days 00:00:06.975924,0 days 00:00:06.969267,0
0 days 00:00:06.983505,0 days 00:00:06.976635,0
0 days 00:00:06.990945,0 days 00:00:06.984237,0
0 days 00:00:06.997953,0 days 00:00:06.991558,0
0 days 00:00:07.008455,0 days 00:00:06.999141,0
0 days 00:00:07.018310,0 days 00:00:07.009536,0
0 days 00:00:07.025253,0 days 00:00:07.018942,0
0 days 00:00:07.032698,0 days 00:00:07.025942,0
0 days 00:00:07.040207,0 days 00:00:07.033490,0
0 days 00:00:07.047015,0 days 00:00:07.040848,0
0 days 00:00:07.054891,0 days 00:00:07.047770,0
0 days 00:00:07.061740,0 days 00:00:07.055503,0
0 days 00:00:07.069105,0 days 00:00:07.062487,0
0 days 00:00:07.078073,0 days 00:00:07.070057,0
0 days 00:00:07.087117,0 days 00:00:07.079024,0
0 days 00:00:07.094954,0 days 00:00:07.087861,0
