Runtime,Computationaltime,Backtracks
0 days 00:00:02.968384,0 days 00:00:02.964396,0
0 days 00:00:02.972303,0 days 00:00:02.968693,0
0 days 00:00:02.976194,0 days 00:00:02.972600,0
0 days 00:00:02.980009,0 days 00:00:02.976503,0
0 days 00:00:02.983965,0 days 00:00:02.980301,0
0 days 00:00:02.987835,0 days 00:00:02.984285,0
0 days 00:00:02.991676,0 days 00:00:02.988149,0
0 days 00:00:02.995520,0 days 00:00:02.991985,0
0 days 00:00:02.999414,0 days 00:00:02.995813,0
0 days 00:00:03.003371,0 days 00:00:02.999712,0
0 days 00:00:03.007225,0 days 00:00:03.003668,0
0 days 00:00:03.011095,0 days 00:00:03.007517,0
0 days 00:00:03.015111,0 days 00:00:03.011411,0
0 days 00:00:03.018947,0 days 00:00:03.015435,0
0 days 00:00:03.022816,0 days 00:00:03.019255,0
0 days 00:00:03.026741,0 days 00:00:03.023103,0
0 days 00:00:03.030647,0 days 00:00:03.027058,0
0 days 00:00:03.034469,0 days 00:00:03.030944,0
0 days 00:00:03.038292,0 days 00:00:03.034741,0
0 days 00:00:03.042155,0 days 00:00:03.038581,0
0 days 00:00:03.046336,0 days 00:00:03.042465,0
0 days 00:00:03.050214,0 days 00:00:03.046658,0
0 days 00:00:03.053982,0 days 00:00:03.050505,0
0 days 00:00:03.057791,0 days 00:00:03.054267,0
0 days 00:00:03.061719,0 days 00:00:03.058104,0
0 days 00:00:03.065692,0 days 00:00:03.062026,0
0 days 00:00:03.069633,0 days 00:00:03.065993,0
0 days 00:00:03.073628,0 days 00:00:03.069926,0
0 days 00:00:03.077443,0 days 00:00:03.073921,0
0 days 00:00:03.081172,0 days 00:00:03.077730,0
0 days 00:00:03.084940,0 days 00:00:03.081457,0
0 days 00:00:03.088744,0 days 00:00:03.085235,0
0 days 00:00:03.092667,0 days 00:00:03.089057,0
0 days 00:00:03.096534,0 days 00:00:03.092946,0
0 days 00:00:03.100356,0 days 00:00:03.096811,0
0 days 00:00:03.104214,0 days 00:00:03.100659,0
0 days 00:00:03.108290,0 days 00:00:03.104524,0
0 days 00:00:03.112168,0 days 00:00:03.108591,0
0 days 00:00:03.116070,0 days 00:00:03.112482,0
0 days 00:00:03.119915,0 days 00:00:03.116340,0
0 days 00:00:03.123874,0 days 00:00:03.120235,0
0 days 00:00:03.127733,0 days 00:00:03.124170,0
0 days 00:00:03.131653,0 days 00:00:03.128047,0
0 days 00:00:03.135592,0 days 00:00:03.131961,0
0 days 00:00:03.139462,0 days 00:00:03.135890,0
0 days 00:00:03.143402,0 days 00:00:03.139759,0
0 days 00:00:03.147199,0 days 00:00:03.143698,0
0 days 00:00:03.150929,0 days 00:00:03.147480,0
0 days 00:00:03.154880,0 days 00:00:03.151213,0
0 days 00:00:03.158729,0 days 00:00:03.155179,0
0 days 00:00:03.162496,0 days 00:00:03.159017,0
0 days 00:00:03.166334,0 days 00:00:03.162792,0
0 days 00:00:03.170201,0 days 00:00:03.166631,0
0 days 00:00:03.174006,0 days 00:00:03.170490,0
0 days 00:00:03.177892,0 days 00:00:03.174295,0
0 days 00:00:03.181775,0 days 00:00:03.178172,0
0 days 00:00:03.185672,0 days 00:00:03.182060,0
0 days 00:00:03.189648,0 days 00:00:03.185957,0
0 days 00:00:03.193647,0 days 00:00:03.189950,0
0 days 00:00:03.197545,0 days 00:00:03.193949,0
0 days 00:00:03.201401,0 days 00:00:03.197824,0
0 days 00:00:03.205333,0 days 00:00:03.201694,0
0 days 00:00:03.209212,0 days 00:00:03.205612,0
0 days 00:00:03.213056,0 days 00:00:03.209493,0
0 days 00:00:03.217014,0 days 00:00:03.213349,0
0 days 00:00:03.220955,0 days 00:00:03.217306,0
0 days 00:00:03.224999,0 days 00:00:03.221241,0
0 days 00:00:03.228943,0 days 00:00:03.225286,0
0 days 00:00:03.232705,0 days 00:00:03.229231,0
0 days 00:00:03.236486,0 days 00:00:03.233004,0
0 days 00:00:03.240228,0 days 00:00:03.236774,0
0 days 00:00:03.244261,0 days 00:00:03.240539,0
0 days 00:00:03.248094,0 days 00:00:03.244554,0
