Runtime,Computationaltime,Backtracks
0 days 00:00:04.441291,0 days 00:00:04.437628,0
0 days 00:00:04.445234,0 days 00:00:04.441607,0
0 days 00:00:04.449413,0 days 00:00:04.445594,0
0 days 00:00:04.453301,0 days 00:00:04.449693,0
0 days 00:00:04.457410,0 days 00:00:04.453636,0
0 days 00:00:04.461723,0 days 00:00:04.457766,0
0 days 00:00:04.465740,0 days 00:00:04.462034,0
0 days 00:00:04.469848,0 days 00:00:04.466152,0
0 days 00:00:04.473800,0 days 00:00:04.470169,0
0 days 00:00:04.478004,0 days 00:00:04.474111,0
0 days 00:00:04.482212,0 days 00:00:04.478338,0
0 days 00:00:04.486245,0 days 00:00:04.482538,0
0 days 00:00:04.490401,0 days 00:00:04.486659,0
0 days 00:00:04.494417,0 days 00:00:04.490775,0
0 days 00:00:04.498612,0 days 00:00:04.494709,0
0 days 00:00:04.502687,0 days 00:00:04.498940,0
0 days 00:00:04.507483,0 days 00:00:04.503151,0
0 days 00:00:04.511596,0 days 00:00:04.507845,0
0 days 00:00:04.515490,0 days 00:00:04.511919,0
0 days 00:00:04.519558,0 days 00:00:04.515844,0
0 days 00:00:04.523494,0 days 00:00:04.519860,0
0 days 00:00:04.527500,0 days 00:00:04.523812,0
0 days 00:00:04.531587,0 days 00:00:04.527823,0
0 days 00:00:04.535565,0 days 00:00:04.531923,0
0 days 00:00:04.539537,0 days 00:00:04.535863,0
0 days 00:00:04.543557,0 days 00:00:04.539882,0
0 days 00:00:04.547489,0 days 00:00:04.543853,0
0 days 00:00:04.551424,0 days 00:00:04.547802,0
0 days 00:00:04.555540,0 days 00:00:04.551757,0
0 days 00:00:04.559389,0 days 00:00:04.555843,0
0 days 00:00:04.563377,0 days 00:00:04.559726,0
0 days 00:00:04.569654,0 days 00:00:04.564093,0
0 days 00:00:04.582850,0 days 00:00:04.571192,0
0 days 00:00:04.596317,0 days 00:00:04.584531,0
0 days 00:00:04.605440,0 days 00:00:04.597129,0
0 days 00:00:04.609717,0 days 00:00:04.605810,0
0 days 00:00:04.613836,0 days 00:00:04.610065,0
0 days 00:00:04.617849,0 days 00:00:04.614164,0
0 days 00:00:04.622289,0 days 00:00:04.618193,0
0 days 00:00:04.626154,0 days 00:00:04.622619,0
0 days 00:00:04.630146,0 days 00:00:04.626448,0
0 days 00:00:04.634219,0 days 00:00:04.630500,0
0 days 00:00:04.638111,0 days 00:00:04.634538,0
0 days 00:00:04.642043,0 days 00:00:04.638402,0
0 days 00:00:04.646087,0 days 00:00:04.642380,0
0 days 00:00:04.650067,0 days 00:00:04.646389,0
0 days 00:00:04.654076,0 days 00:00:04.650376,0
0 days 00:00:04.658134,0 days 00:00:04.654398,0
0 days 00:00:04.662089,0 days 00:00:04.658437,0
0 days 00:00:04.666181,0 days 00:00:04.662451,0
0 days 00:00:04.670111,0 days 00:00:04.666524,0
0 days 00:00:04.674016,0 days 00:00:04.670402,0
0 days 00:00:04.678053,0 days 00:00:04.674324,0
0 days 00:00:04.682127,0 days 00:00:04.678403,0
0 days 00:00:04.686015,0 days 00:00:04.682437,0
0 days 00:00:04.689974,0 days 00:00:04.686310,0
0 days 00:00:04.693891,0 days 00:00:04.690278,0
0 days 00:00:04.697876,0 days 00:00:04.694213,0
0 days 00:00:04.701732,0 days 00:00:04.698200,0
0 days 00:00:04.705789,0 days 00:00:04.702045,0
0 days 00:00:04.709782,0 days 00:00:04.706092,0
0 days 00:00:04.713699,0 days 00:00:04.710095,0
0 days 00:00:04.717638,0 days 00:00:04.713999,0
0 days 00:00:04.721541,0 days 00:00:04.717964,0
0 days 00:00:04.725433,0 days 00:00:04.721838,0
0 days 00:00:04.729342,0 days 00:00:04.725719,0
0 days 00:00:04.733431,0 days 00:00:04.729675,0
0 days 00:00:04.737388,0 days 00:00:04.733749,0
