Runtime,Computationaltime,Backtracks
0 days 00:00:07.561496,0 days 00:00:02.720784,71
0 days 00:00:10.066272,0 days 00:00:07.693939,9
0 days 00:00:13.524061,0 days 00:00:10.248873,32
0 days 00:00:15.971966,0 days 00:00:13.631632,5
0 days 00:00:21.712003,0 days 00:00:16.343861,147
0 days 00:00:24.174648,0 days 00:00:21.819613,2
0 days 00:00:26.536454,0 days 00:00:24.270358,0
0 days 00:00:29.718701,0 days 00:00:26.703317,30
0 days 00:00:32.083086,0 days 00:00:29.816760,2
0 days 00:00:34.431391,0 days 00:00:32.182699,0
0 days 00:00:36.811871,0 days 00:00:34.529763,1
0 days 00:00:39.051078,0 days 00:00:36.908359,0
0 days 00:00:42.941158,0 days 00:00:39.263411,101
0 days 00:00:47.732004,0 days 00:00:43.225102,92
0 days 00:00:51.087141,0 days 00:00:47.906758,33
0 days 00:00:53.491018,0 days 00:00:51.188089,4
0 days 00:00:55.867314,0 days 00:00:53.589057,1
0 days 00:01:00.276712,0 days 00:00:56.127501,71
0 days 00:01:02.594966,0 days 00:01:00.373194,0
0 days 00:01:05.180950,0 days 00:01:02.711604,11
0 days 00:01:16.776546,0 days 00:01:05.948914,161
0 days 00:01:19.654662,0 days 00:01:16.923824,3
0 days 00:01:23.039606,0 days 00:01:19.827523,29
0 days 00:01:27.492758,0 days 00:01:23.315343,235
0 days 00:01:31.064622,0 days 00:01:27.681680,45
0 days 00:01:35.641526,0 days 00:01:31.342118,97
0 days 00:01:37.999854,0 days 00:01:35.736597,0
0 days 00:01:40.474246,0 days 00:01:38.103615,5
0 days 00:01:42.820849,0 days 00:01:40.570244,0
0 days 00:01:45.232597,0 days 00:01:42.926611,3
0 days 00:01:47.711335,0 days 00:01:45.350083,6
0 days 00:01:58.880149,0 days 00:01:48.461426,247
0 days 00:02:01.357736,0 days 00:01:58.974886,0
0 days 00:02:03.779394,0 days 00:02:01.457641,3
0 days 00:02:06.507320,0 days 00:02:03.908175,12
0 days 00:02:08.889459,0 days 00:02:06.606379,2
0 days 00:02:12.317506,0 days 00:02:09.066868,33
0 days 00:02:15.494415,0 days 00:02:12.474827,26
0 days 00:02:17.829988,0 days 00:02:15.589093,0
0 days 00:02:20.921793,0 days 00:02:17.991086,62
0 days 00:02:23.802892,0 days 00:02:21.063535,20
0 days 00:02:28.753007,0 days 00:02:24.097335,69
0 days 00:02:31.083889,0 days 00:02:28.846984,0
0 days 00:02:34.742060,0 days 00:02:31.286207,65
0 days 00:02:37.451493,0 days 00:02:34.872970,16
0 days 00:02:41.555668,0 days 00:02:37.676131,42
0 days 00:02:43.945722,0 days 00:02:41.657367,1
0 days 00:02:46.486002,0 days 00:02:44.061709,7
0 days 00:02:49.598496,0 days 00:02:46.650165,24
0 days 00:02:52.119924,0 days 00:02:49.712631,5
0 days 00:02:54.718484,0 days 00:02:52.241413,11
0 days 00:02:57.158865,0 days 00:02:54.822132,6
0 days 00:02:59.745046,0 days 00:02:57.278805,9
0 days 00:03:02.518629,0 days 00:02:59.878996,23
0 days 00:03:05.373581,0 days 00:03:02.657757,22
0 days 00:03:07.757576,0 days 00:03:05.477348,3
0 days 00:03:10.091120,0 days 00:03:07.852519,0
0 days 00:03:14.067329,0 days 00:03:10.317367,99
0 days 00:03:16.700490,0 days 00:03:14.187718,13
0 days 00:03:19.750073,0 days 00:03:16.857626,35
0 days 00:03:23.486461,0 days 00:03:19.947500,37
0 days 00:03:25.907229,0 days 00:03:23.592081,5
0 days 00:03:28.367066,0 days 00:03:26.011628,3
0 days 00:03:31.093053,0 days 00:03:28.483537,7
0 days 00:03:33.400462,0 days 00:03:31.194523,5
0 days 00:03:35.898506,0 days 00:03:33.511404,5
0 days 00:03:38.392804,0 days 00:03:36.005375,9
0 days 00:03:41.044310,0 days 00:03:38.505764,7
0 days 00:03:43.777482,0 days 00:03:41.170966,11
0 days 00:03:46.112431,0 days 00:03:43.868677,0
0 days 00:03:48.400889,0 days 00:03:46.222663,0
0 days 00:03:53.499247,0 days 00:03:48.703320,56
0 days 00:03:55.840340,0 days 00:03:53.594676,0
0 days 00:04:00.180890,0 days 00:03:56.098646,136
0 days 00:04:02.641444,0 days 00:04:00.290656,0
0 days 00:04:05.326575,0 days 00:04:02.774654,8
0 days 00:04:07.710244,0 days 00:04:05.427674,2
0 days 00:04:10.064984,0 days 00:04:07.808457,0
0 days 00:04:12.519392,0 days 00:04:10.181050,0
0 days 00:04:15.244899,0 days 00:04:12.647864,17
0 days 00:04:18.210595,0 days 00:04:15.394583,28
0 days 00:04:20.855420,0 days 00:04:18.331969,13
0 days 00:04:23.773978,0 days 00:04:21.000365,36
0 days 00:04:26.120163,0 days 00:04:23.870333,0
0 days 00:04:28.550210,0 days 00:04:26.223144,4
0 days 00:04:30.883766,0 days 00:04:28.644454,0
0 days 00:04:33.598937,0 days 00:04:31.009813,10
0 days 00:04:35.942185,0 days 00:04:33.697318,0
0 days 00:04:38.366303,0 days 00:04:36.045705,4
0 days 00:04:41.810347,0 days 00:04:38.562704,98
0 days 00:04:44.252780,0 days 00:04:41.920424,5
