Runtime,Computationaltime,Backtracks
0 days 00:00:00.535576,0 days 00:00:00.531805,0
0 days 00:00:00.540152,0 days 00:00:00.536339,0
0 days 00:00:00.545130,0 days 00:00:00.541044,0
0 days 00:00:00.549767,0 days 00:00:00.545880,0
0 days 00:00:00.554391,0 days 00:00:00.550555,0
0 days 00:00:00.559065,0 days 00:00:00.555201,0
0 days 00:00:00.564125,0 days 00:00:00.560038,0
0 days 00:00:00.568672,0 days 00:00:00.564856,0
0 days 00:00:00.573336,0 days 00:00:00.569456,0
0 days 00:00:00.578122,0 days 00:00:00.574210,0
0 days 00:00:00.582780,0 days 00:00:00.578987,0
0 days 00:00:00.587576,0 days 00:00:00.583570,0
0 days 00:00:00.592250,0 days 00:00:00.588326,0
0 days 00:00:00.597011,0 days 00:00:00.593087,0
0 days 00:00:00.601620,0 days 00:00:00.597725,0
0 days 00:00:00.606300,0 days 00:00:00.602436,0
0 days 00:00:00.611009,0 days 00:00:00.607090,0
0 days 00:00:00.618050,0 days 00:00:00.612126,0
0 days 00:00:00.625810,0 days 00:00:00.619914,0
0 days 00:00:00.633636,0 days 00:00:00.627654,0
0 days 00:00:00.641689,0 days 00:00:00.635533,0
0 days 00:00:00.648156,0 days 00:00:00.643144,0
0 days 00:00:00.653071,0 days 00:00:00.649097,0
0 days 00:00:00.658698,0 days 00:00:00.654181,0
0 days 00:00:00.665325,0 days 00:00:00.660013,0
0 days 00:00:00.670604,0 days 00:00:00.666260,0
0 days 00:00:00.675286,0 days 00:00:00.671393,0
0 days 00:00:00.680119,0 days 00:00:00.676181,0
0 days 00:00:00.684925,0 days 00:00:00.680928,0
0 days 00:00:00.689458,0 days 00:00:00.685747,0
0 days 00:00:00.694244,0 days 00:00:00.690343,0
0 days 00:00:00.699099,0 days 00:00:00.695097,0
0 days 00:00:00.703852,0 days 00:00:00.699892,0
0 days 00:00:00.708437,0 days 00:00:00.704618,0
0 days 00:00:00.713341,0 days 00:00:00.709270,0
0 days 00:00:00.717911,0 days 00:00:00.714147,0
0 days 00:00:00.722739,0 days 00:00:00.718718,0
0 days 00:00:00.727457,0 days 00:00:00.723571,0
0 days 00:00:00.732361,0 days 00:00:00.728348,0
0 days 00:00:00.736847,0 days 00:00:00.733091,0
0 days 00:00:00.741464,0 days 00:00:00.737591,0
0 days 00:00:00.746438,0 days 00:00:00.742365,0
0 days 00:00:00.750978,0 days 00:00:00.747182,0
0 days 00:00:00.755555,0 days 00:00:00.751723,0
0 days 00:00:00.760332,0 days 00:00:00.756403,0
0 days 00:00:00.765432,0 days 00:00:00.761203,0
0 days 00:00:00.770056,0 days 00:00:00.766212,0
0 days 00:00:00.774812,0 days 00:00:00.770816,0
0 days 00:00:00.779615,0 days 00:00:00.775695,0
0 days 00:00:00.784306,0 days 00:00:00.780434,0
0 days 00:00:00.788844,0 days 00:00:00.785053,0
0 days 00:00:00.793552,0 days 00:00:00.789649,0
0 days 00:00:00.798759,0 days 00:00:00.794559,0
0 days 00:00:00.803437,0 days 00:00:00.799563,0
0 days 00:00:00.808069,0 days 00:00:00.804229,0
0 days 00:00:00.812978,0 days 00:00:00.808965,0
0 days 00:00:00.817531,0 days 00:00:00.813740,0
0 days 00:00:00.822146,0 days 00:00:00.818315,0
0 days 00:00:00.826784,0 days 00:00:00.822998,0
0 days 00:00:00.831787,0 days 00:00:00.827650,0
0 days 00:00:00.836540,0 days 00:00:00.832521,0
0 days 00:00:00.841172,0 days 00:00:00.837348,0
0 days 00:00:00.846009,0 days 00:00:00.842029,0
0 days 00:00:00.850673,0 days 00:00:00.846855,0
0 days 00:00:00.855259,0 days 00:00:00.851437,0
0 days 00:00:00.859925,0 days 00:00:00.856054,0
0 days 00:00:00.864908,0 days 00:00:00.860789,0
0 days 00:00:00.869476,0 days 00:00:00.865677,0
0 days 00:00:00.874023,0 days 00:00:00.870228,0
0 days 00:00:00.878716,0 days 00:00:00.874795,0
0 days 00:00:00.883478,0 days 00:00:00.879612,0
0 days 00:00:00.888051,0 days 00:00:00.884209,0
0 days 00:00:00.892705,0 days 00:00:00.888878,0
0 days 00:00:00.897682,0 days 00:00:00.893593,0
0 days 00:00:00.902358,0 days 00:00:00.898414,0
0 days 00:00:00.906923,0 days 00:00:00.903062,0
0 days 00:00:00.911811,0 days 00:00:00.907803,0
0 days 00:00:00.916358,0 days 00:00:00.912540,0
0 days 00:00:00.920868,0 days 00:00:00.917094,0
0 days 00:00:00.925533,0 days 00:00:00.921620,0
0 days 00:00:00.930457,0 days 00:00:00.926373,0
0 days 00:00:00.935188,0 days 00:00:00.931230,0
0 days 00:00:00.939784,0 days 00:00:00.935971,0
0 days 00:00:00.944451,0 days 00:00:00.940624,0
