Runtime,Computationaltime,Backtracks
4159.514605,483.382636,188452.0
5561.552189,4321.474541,64916.0
9734.864248,6039.812568,180495.0
11445.401347,9934.397509,79221.0
148.318512,21.491178,6075.0
1714.669095,353.912819,65960.0
1767.905006,1721.523078,2148.0
1905.670661,1785.727031,5885.0
1980.268422,1914.410805,2526.0
2143.426431,2000.845879,6942.0
2171.103248,2146.712017,898.0
2331.406128,2191.265719,7101.0
2367.929338,2335.70092,1545.0
2958.814893,2440.191921,22975.0
3426.613243,3015.040498,17248.0
3486.013607,3434.236065,2490.0
3557.02016,3494.647623,3308.0
5007.327341,3716.827681,46435.0
5276.053588,5037.386513,11578.0
5309.964473,5279.872512,1921.0
8202.523722,5630.928331,110522.0
8210.663634,8203.31888,341.0
8385.774753,8231.148005,9148.0
8434.592904,8391.379414,2762.0
8460.22196,8437.415736,1243.0
8613.642456,8477.882828,7321.0
8631.906006,8615.531375,1038.0
8649.132803,8633.801125,784.0
8731.341473,8658.44623,3393.0
8843.631973,8743.910957,5471.0
8988.871764,8860.792236,6905.0
9798.380905,9079.16993,32313.0
9825.206237,9801.140323,1058.0
9838.381687,9826.557338,472.0
9873.735821,9842.276282,1469.0
9917.900839,9878.744485,2281.0
9977.073141,9924.580094,2496.0
10244.519909,10007.194123,10855.0
10253.902037,10245.447527,326.0
10278.399259,10256.902267,1174.0
10300.681445,10281.005899,1016.0
10877.267349,10364.118135,23750.0
10926.963745,10882.752028,2430.0
11006.492741,10935.899961,3450.0
11052.284195,11011.700969,2142.0
11695.543717,11124.651591,26890.0
11753.284559,11702.112265,2925.0
12070.981056,11790.960978,14850.0
12094.103009,12073.697124,1102.0
12486.022701,12138.8679,17931.0
12802.314574,12522.891328,14870.0
12821.885448,12804.50103,1041.0
13208.989133,12865.786073,17848.0
13702.905765,13267.500761,24373.0
13720.429726,13704.817835,795.0
13732.441066,13721.858321,509.0
13845.279089,13744.692101,4619.0
13869.179966,13848.086873,1092.0
14039.486064,13888.016295,6797.0
14411.699365,14082.87155,18643.0
14446.020343,14415.459752,1370.0
14543.924419,14457.638183,4710.0
14580.54951,14547.842429,1731.0
14610.473387,14583.972871,1567.0
14675.663222,14618.648414,3248.0
14703.618256,14678.986252,1348.0
14717.404909,14705.15061,411.0
14795.172779,14726.858476,4714.0
15017.232856,14821.320882,9984.0
15035.589605,15019.262907,1129.0
15093.289295,15042.472726,2828.0
15641.299396,15153.712243,20795.0
15668.262211,15644.421037,1176.0
15730.198568,15675.336334,2939.0
15750.856152,15732.418339,946.0
15797.170513,15756.075864,2391.0
15863.185463,15804.556088,3007.0
15913.534144,15869.172469,2208.0
15921.751622,15914.350361,223.0
15949.941415,15924.745494,1284.0
15997.380908,15955.248363,2236.0
16016.393841,15999.435155,946.0
16052.888319,16020.549862,1637.0
16092.76691,16057.264164,1821.0
16172.873821,16101.920055,3962.0
16204.000399,16176.357703,1436.0
16250.678222,16209.194208,2282.0
10669.816034666668,10388.32858916092,13665.436781609196
4625.0990506984845,4819.872983313566,31754.33783081596
